"","X","Site","Year","Species","Phytometer","Neighbour","Treatment","Date","light","carbon"
"1",1,"CAP1",2017,"Carex","Carex_Phragmites","Phragmites","Competition","09-Jul-17","1500",10.1
"2",2,"CAP1",2017,"Carex","Carex_Phragmites","Phragmites","Competition","09-Jul-17","1000",9.7
"3",3,"CAP1",2017,"Carex","Carex_Phragmites","Phragmites","Competition","09-Jul-17","500",8.4
"4",4,"CAP1",2017,"Carex","Carex_Phragmites","Phragmites","Competition","09-Jul-17","200",4.3
"5",5,"CAP1",2017,"Carex","Carex_Phragmites","Phragmites","Competition","09-Jul-17","100",1.2
"6",6,"CAP1",2017,"Carex","Carex_Phragmites","Phragmites","Competition","09-Jul-17","50",-0.3
"7",7,"CAP1",2017,"Carex","Carex_Phragmites","Phragmites","Competition","09-Jul-17","0",-1.1
"8",8,"CAP10",2017,"Carex","Carex_Phragmites","Phragmites","Competition","11-Jul-17","1500",12.4
"9",9,"CAP10",2017,"Carex","Carex_Phragmites","Phragmites","Competition","11-Jul-17","1000",12.1
"10",10,"CAP10",2017,"Carex","Carex_Phragmites","Phragmites","Competition","11-Jul-17","500",9.5
"11",11,"CAP10",2017,"Carex","Carex_Phragmites","Phragmites","Competition","11-Jul-17","200",5.6
"12",12,"CAP10",2017,"Carex","Carex_Phragmites","Phragmites","Competition","11-Jul-17","100",2.7
"13",13,"CAP10",2017,"Carex","Carex_Phragmites","Phragmites","Competition","11-Jul-17","50",0.6
"14",14,"CAP10",2017,"Carex","Carex_Phragmites","Phragmites","Competition","11-Jul-17","0",-0.5
"15",15,"CAP10CU",2017,"Carex","Carex_Phragmites","Phragmites","No competition","11-Jul-17","1500",14
"16",16,"CAP10CU",2017,"Carex","Carex_Phragmites","Phragmites","No competition","11-Jul-17","1000",13
"17",17,"CAP10CU",2017,"Carex","Carex_Phragmites","Phragmites","No competition","11-Jul-17","500",10.1
"18",18,"CAP10CU",2017,"Carex","Carex_Phragmites","Phragmites","No competition","11-Jul-17","200",6
"19",19,"CAP10CU",2017,"Carex","Carex_Phragmites","Phragmites","No competition","11-Jul-17","100",2
"20",20,"CAP10CU",2017,"Carex","Carex_Phragmites","Phragmites","No competition","11-Jul-17","50",0.2
"21",21,"CAP10CU",2017,"Carex","Carex_Phragmites","Phragmites","No competition","11-Jul-17","0",-1.1
"22",22,"CAP11",2017,"Carex","Carex_Phragmites","Phragmites","Competition","11-Jul-17","1500",12.2
"23",23,"CAP11",2017,"Carex","Carex_Phragmites","Phragmites","Competition","11-Jul-17","1000",11.2
"24",24,"CAP11",2017,"Carex","Carex_Phragmites","Phragmites","Competition","11-Jul-17","500",9.1
"25",25,"CAP11",2017,"Carex","Carex_Phragmites","Phragmites","Competition","11-Jul-17","200",5.2
